Client,Address,Expiration Date,Status,Premium,VIN,State,Manufacturer,Car Model,Autonomous Software,Sensors,Computing Units,Connectivity,Power System,Braking System,Steering System,Price,Policy Channel,Year,Mileage,Accident History,Ownership,Average Annual Mileage,Annual Mileage,Repair Records,Maintenance Records,Usage,Claim Records
Daniel Davis,"123 Coleman Ports
Mooretown, NH 10059",2024-10-04,Expired,122.24000000000001,WFK5HHG0P09YM1VS9,NH,Mercedes-Benz,Mercedes-Benz E-Class,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,54000,Online,2023,13076,0,Company Ownership,6538,"[6417, 6659]",0,1,Commercial,"[{'date': datetime.date(2020, 11, 8), 'amount': 4457.65}, {'date': datetime.date(2020, 7, 13), 'amount': 1439.98}]"
Jason Tran,"5125 Debra Highway
Stephenshire, IA 20449",2024-09-09,Expired,140.19,UV4USNFHGXZT29LZ4,IA,Mercedes-Benz,Mercedes-Benz GLS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,76000,4S Stores,2018,82608,0,Company Ownership,11801,"[11754, 12690, 11442, 12058, 10922, 12562, 11180]",1,6,Personal,"[{'date': datetime.date(2018, 5, 25), 'amount': 2147.45}, {'date': datetime.date(2023, 5, 2), 'amount': 1908.27}]"
Adrian Armstrong,"393 Miller Well
Collinsmouth, OR 96237",2024-10-26,Expired,157.75,P2N3VXAJ1RCWDUVTT,OR,Mercedes-Benz,Mercedes-Benz EQS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,102000,In-Vehicle Infotainment System,2018,76572,0,Company Ownership,10938,"[10318, 10730, 12149, 11826, 11365, 10597, 9587]",2,6,Rental,"[{'date': datetime.date(2022, 10, 25), 'amount': 4240.67}, {'date': datetime.date(2023, 5, 31), 'amount': 939.61}, {'date': datetime.date(2020, 6, 8), 'amount': 3261.3}]"
Sandra Mccarthy,"635 Bates Mountains
Lake Paulland, PA 69881",2024-09-09,Expired,132.3,B01988JH940KHTNF2,PA,Mercedes-Benz,Mercedes-Benz EQC,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,67000,Agent,2022,18869,1,Personal Ownership,6289,"[6178, 6522, 6169]",0,2,Personal,"[{'date': datetime.date(2022, 7, 5), 'amount': 4063.28}, {'date': datetime.date(2016, 2, 28), 'amount': 2670.68}, {'date': datetime.date(2024, 4, 27), 'amount': 4433.55}, {'date': datetime.date(2018, 2, 27), 'amount': 3566.92}]"
Richard Wells,"65578 Sellers Key Suite 179
Bakerberg, FM 20164",2024-09-24,Expired,144.62,JN8EABTS0825DA9EA,FM,BMW,BMW iX,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,83000,Online,2017,92667,1,Company Ownership,11583,"[10896, 11002, 10937, 12511, 12186, 11825, 10970, 12340]",1,7,Commercial,"[{'date': datetime.date(2024, 10, 28), 'amount': 4155.25}, {'date': datetime.date(2020, 8, 4), 'amount': 3698.05}, {'date': datetime.date(2021, 12, 13), 'amount': 4588.78}]"
Amanda Bender,"620 Daniel Ridges
Smithborough, TX 71958",2024-10-23,Expired,132.18,HBRK729N0CN5VT1XD,TX,Mercedes-Benz,Mercedes-Benz EQC,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,67000,4S Stores,2014,129110,0,Company Ownership,11737,"[12259, 11866, 11250, 12485, 10706, 11336, 11251, 11129, 12414, 11284, 13130]",3,20,Personal,"[{'date': datetime.date(2018, 9, 16), 'amount': 3212.94}, {'date': datetime.date(2024, 5, 18), 'amount': 612.95}]"
Joel Bentley,"956 Thomas Run
Laraburgh, AR 30973",2024-10-11,Expired,123.27000000000001,8EBT5JA2XX0HHFUTN,AR,BMW,BMW i4,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,56000,Agent,2018,75029,0,Personal Ownership,10718,"[11671, 11104, 10972, 11324, 10629, 9403, 9926]",0,12,Personal,"[{'date': datetime.date(2019, 5, 13), 'amount': 4992.58}, {'date': datetime.date(2015, 6, 21), 'amount': 2653.22}, {'date': datetime.date(2023, 7, 23), 'amount': 2506.98}]"
Alan Little,"02545 Warner Mountain
East Dana, MA 85498",2024-10-21,Expired,107.25,M8HRR6W26444116NH,MA,BYD,BYD Tang,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,35000,Online,2020,53315,0,Personal Ownership,10663,"[9714, 10807, 10061, 11028, 11705]",1,4,Personal,"[{'date': datetime.date(2023, 10, 8), 'amount': 2049.78}]"
Kevin Brown,"14118 William Ferry Apt. 968
North Christopherville, LA 56913",2024-10-06,Expired,103.44,7RA9MHHAJ9G63H8HX,LA,BYD,BYD Han,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,30000,In-Vehicle Infotainment System,2016,111281,2,Company Ownership,12364,"[11374, 12100, 11383, 13268, 13801, 11590, 11383, 13390, 12992]",3,16,Rental,"[{'date': datetime.date(2019, 12, 13), 'amount': 2523.1}]"
Melody Nguyen,"50891 Michael Orchard Suite 859
Watersborough, GA 46053",2024-10-12,Expired,115.36,XAGZ821YNN9PR74TG,GA,Audi,Audi Q4 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,45000,4S Stores,2018,55650,1,Personal Ownership,7950,"[7562, 7386, 8910, 7925, 7892, 7388, 8587]",1,12,Rental,"[{'date': datetime.date(2024, 10, 16), 'amount': 4045.56}, {'date': datetime.date(2020, 11, 19), 'amount': 1247.7}]"
Robert Arnold,"941 Stanley Gardens Apt. 697
Ashleymouth, MT 50018",2024-09-30,Expired,145.73000000000002,0E40CWVM36F5A5ZMH,MT,BMW,BMW 7 Series,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,87000,Online,2014,149700,0,Personal Ownership,13609,"[12538, 13514, 14530, 13713, 14690, 13223, 12419, 13029, 14684, 14909, 12451]",1,20,Personal,[]
Taylor Lee,"67144 Arias Fall Apt. 019
Michelemouth, OR 28767",2024-09-22,Expired,107.97,0G055LN36SG8F0GCR,OR,BYD,BYD Tang,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,35000,4S Stores,2022,29711,0,Personal Ownership,9903,"[10623, 8819, 10269]",0,4,Commercial,"[{'date': datetime.date(2017, 12, 22), 'amount': 2866.39}, {'date': datetime.date(2022, 5, 14), 'amount': 688.8}]"
Nancy Ramirez,"76081 John Divide
Mckaystad, OK 25652",2024-09-28,Expired,114.67,2MFRN7RT3YVM8UF93,OK,Audi,Audi Q4 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,45000,Agent,2020,57702,2,Personal Ownership,11540,"[10954, 12409, 12470, 11980, 9889]",0,4,Rental,"[{'date': datetime.date(2024, 9, 29), 'amount': 1785.7}, {'date': datetime.date(2022, 8, 31), 'amount': 4539.73}]"
Mark Solis,"PSC 4797, Box 9964
APO AE 30805",2024-10-18,Expired,139.73,CGY0SAV2NRXMTED6W,AE,Mercedes-Benz,Mercedes-Benz GLS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,76000,Online,2021,43628,0,Company Ownership,10907,"[11915, 9831, 10720, 11162]",0,3,Rental,[]
Stacey Newman,"355 Heather Gateway
South Charles, VI 85421",2024-09-13,Expired,111.78,6AN9F6XN400KAE0YU,VI,Tesla,Tesla Cybertruck,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,39900,4S Stores,2017,99422,1,Company Ownership,12427,"[12682, 12115, 11406, 12275, 11838, 11974, 14256, 12876]",1,7,Personal,"[{'date': datetime.date(2023, 11, 7), 'amount': 4148.42}, {'date': datetime.date(2017, 1, 28), 'amount': 2119.9}]"
Donna Green,"Unit 5640 Box 0525
DPO AA 22147",2024-09-08,Expired,137.99,MRFBSH7AA2Y3TZK9M,AA,Audi,Audi Q8 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,74000,Online,2015,126796,2,Company Ownership,12679,"[11985, 13714, 11640, 12622, 11772, 13590, 13525, 11880, 13749, 12319]",4,18,Personal,"[{'date': datetime.date(2023, 11, 25), 'amount': 688.62}, {'date': datetime.date(2020, 12, 26), 'amount': 3792.77}]"
Jennifer Crawford,"6222 Emily Place Suite 184
East Shane, CT 65586",2024-10-07,Expired,106.82,4NZUJGWZC63KHHF60,CT,BYD,BYD Tang,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,35000,Online,2024,0,0,Company Ownership,0,[0],0,0,Personal,"[{'date': datetime.date(2023, 12, 28), 'amount': 2249.58}, {'date': datetime.date(2022, 11, 18), 'amount': 626.01}, {'date': datetime.date(2023, 5, 27), 'amount': 1318.22}, {'date': datetime.date(2023, 10, 12), 'amount': 4446.4}]"
Rita Patel,"Unit 0826 Box 3053
DPO AA 07616",2024-09-18,Expired,101.88,JGU3YL0B6KVHLS1P8,AA,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,In-Vehicle Infotainment System,2020,48503,0,Personal Ownership,9700,"[9527, 9290, 10154, 8832, 10700]",0,8,Commercial,"[{'date': datetime.date(2024, 9, 17), 'amount': 2603.07}, {'date': datetime.date(2018, 2, 9), 'amount': 4366.7}]"
Amy Hopkins,"1906 Ryan Stravenue
Rangelton, AR 50937",2024-09-19,Expired,143.69,B27223AB5N8YND1W2,AR,Tesla,Tesla Model S,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,79990,Agent,2014,120538,1,Company Ownership,10958,"[11939, 11646, 9810, 11792, 9733, 10767, 11398, 10929, 11314, 9605, 11605]",2,20,Personal,"[{'date': datetime.date(2020, 6, 2), 'amount': 3278.29}]"
Ms. Kristin Jones MD,"995 Schneider Brook
Jonesfort, MA 27318",2024-09-21,Expired,114.4,BMFY9CV3BSL8S6MZR,MA,Audi,Audi Q4 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,45000,In-Vehicle Infotainment System,2021,42192,0,Personal Ownership,10548,"[9809, 11182, 10593, 10608]",0,6,Personal,[]
Nicole Graham,"USS Munoz
FPO AP 02497",2024-12-06,Active,95.52,UTK8TCUHN1Z9LN8GE,AP,BYD,BYD Dolphin,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,20000,4S Stores,2014,130937,0,Personal Ownership,11903,"[12977, 11603, 12359, 12411, 10644, 12150, 11249, 11774, 10794, 13471, 11505]",0,10,Rental,"[{'date': datetime.date(2022, 10, 11), 'amount': 684.21}, {'date': datetime.date(2020, 3, 1), 'amount': 1277.54}]"
Brianna Moore,"16389 Gray Squares Suite 332
New Katieport, RI 52639",2024-12-01,Active,115.47999999999999,1XAFU4U5P88DUZ8HA,RI,Audi,Audi Q4 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,45000,4S Stores,2024,0,0,Company Ownership,0,[0],0,0,Personal,[]
Charles Guerrero,"655 Debbie Locks Suite 404
Port Tanya, VA 57337",2024-11-28,Active,106.61,2CPFBVAANTMN7NCKM,VA,BYD,BYD Tang,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,35000,Online,2021,43397,1,Company Ownership,10849,"[10076, 10784, 10729, 11808]",0,6,Personal,"[{'date': datetime.date(2021, 9, 18), 'amount': 4043.07}]"
Christopher Flores,"0244 Carter Inlet Suite 878
Michellebury, CA 65891",2024-12-15,Active,106.42,ZND1ULFK5BFRL6F3U,CA,BYD,BYD Tang,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,35000,In-Vehicle Infotainment System,2017,97945,1,Company Ownership,12243,"[12568, 12338, 13125, 11077, 13346, 12036, 11966, 11489]",2,7,Commercial,"[{'date': datetime.date(2024, 10, 28), 'amount': 1833.32}]"
David Morris,"900 Timothy Mills Suite 482
West Douglas, HI 67332",2024-11-12,Active,115.55,M589E0RJSZ2Y76M0P,HI,Audi,Audi Q4 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,45000,4S Stores,2018,72198,1,Personal Ownership,10314,"[10362, 10357, 9928, 9515, 10690, 9782, 11564]",2,6,Personal,[]
Christine Nelson,"98005 Dale Mountain Suite 245
West William, CO 80877",2024-10-31,Expiring in 7 Days,107.99,HR5PZ68GYPMC9RDX2,CO,BYD,BYD Tang,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,35000,4S Stores,2018,86072,1,Company Ownership,12296,"[13022, 11533, 12481, 12369, 12547, 12437, 11683]",3,6,Rental,"[{'date': datetime.date(2016, 10, 10), 'amount': 3025.84}, {'date': datetime.date(2024, 10, 28), 'amount': 4686.12}]"
Diane Fisher,"73443 Allen Port Apt. 706
South Mauriceside, WY 32731",2024-11-24,Active,131.5,G9CY64RAM0XWWE727,WY,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,4S Stores,2022,29285,0,Company Ownership,9761,"[9628, 9263, 10394]",0,2,Rental,"[{'date': datetime.date(2024, 10, 1), 'amount': 4150.27}]"
Rebecca Martinez,"87964 Mccarty Estate
Kevinport, ND 66678",2024-12-12,Active,107.78999999999999,GCY8KEHT8LDFZU1Z8,ND,BYD,BYD Tang,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,35000,4S Stores,2024,0,0,Company Ownership,0,[0],0,0,Commercial,"[{'date': datetime.date(2023, 4, 21), 'amount': 505.14}, {'date': datetime.date(2021, 12, 2), 'amount': 3253.97}]"
Ronald Hampton,"148 Richard Prairie Apt. 443
Kaylaberg, TN 71856",2024-12-11,Active,130.57999999999998,71ZBP2ZV7T7GCL3VS,TN,Audi,Audi e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,66000,In-Vehicle Infotainment System,2018,73198,0,Personal Ownership,10456,"[9916, 11408, 11156, 9907, 10854, 9214, 10743]",3,6,Commercial,"[{'date': datetime.date(2024, 6, 1), 'amount': 3438.81}]"
Andrew Robinson,"26872 Welch Summit Apt. 001
Bonniechester, ME 98280",2024-11-07,Active,131.03,FRDPDETE9BFUR7CX4,ME,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,Online,2018,26460,3,Personal Ownership,3780,"[3599, 3873, 3682, 3476, 4060, 3956, 3814]",3,6,Rental,"[{'date': datetime.date(2017, 12, 5), 'amount': 4238.86}]"
Debbie Weaver,"Unit 4349 Box 8481
DPO AP 83194",2024-12-07,Active,129.96,NATUT3JTW2KPTYBXJ,AP,Audi,Audi e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,66000,In-Vehicle Infotainment System,2018,86694,1,Company Ownership,12384,"[12983, 12056, 11315, 13805, 11186, 13699, 11650]",0,12,Commercial,"[{'date': datetime.date(2020, 9, 30), 'amount': 4659.79}]"
Robert Pierce,"USCGC Moore
FPO AA 08160",2024-11-02,Expiring in 7 Days,143.66,GYYWXBV53T4CZ47DC,AA,Tesla,Tesla Model S,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,79990,4S Stores,2024,0,0,Company Ownership,0,[0],0,0,Commercial,"[{'date': datetime.date(2023, 9, 24), 'amount': 1183.92}, {'date': datetime.date(2022, 2, 22), 'amount': 4501.32}, {'date': datetime.date(2024, 3, 24), 'amount': 1423.5}, {'date': datetime.date(2023, 4, 23), 'amount': 998.14}, {'date': datetime.date(2022, 11, 20), 'amount': 4113.05}]"
Kyle Myers,"426 Ashley Mountains Apt. 833
South Nataliemouth, MA 20257",2024-11-06,Active,117.75,NW2936K0HAJ51ZA2E,MA,Tesla,Tesla Model Y,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,49990,4S Stores,2015,127154,0,Personal Ownership,12715,"[12122, 13485, 12475, 11835, 13774, 12199, 12763, 13525, 13673, 11303]",3,9,Personal,"[{'date': datetime.date(2023, 3, 6), 'amount': 4845.34}]"
Barbara Mahoney,"0248 Jones Ridges
Pearsonmouth, MA 62560",2024-11-06,Active,109.94,HXTL1FSKJ101AFXNF,MA,Tesla,Tesla Cybertruck,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,39900,4S Stores,2019,63814,0,Personal Ownership,10635,"[10963, 10205, 11222, 9457, 12072, 9895]",1,5,Rental,[]
Kimberly Moreno,"514 Michael Gardens
Kelleyburgh, CA 67589",2024-11-07,Active,156.94,84C4ZE39LRRYJ17D3,CA,Mercedes-Benz,Mercedes-Benz EQS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,102000,Online,2019,66244,1,Personal Ownership,11040,"[10408, 11274, 11869, 11122, 10466, 11105]",1,5,Rental,[]
Luis Barker,"PSC 3716, Box 6680
APO AE 47134",2024-11-29,Active,136.71,2FN7N4G362W9JCGHY,AE,Audi,Audi Q8 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,74000,4S Stores,2022,28729,0,Company Ownership,9576,"[8944, 10542, 9243]",0,4,Commercial,"[{'date': datetime.date(2021, 11, 27), 'amount': 1642.7}]"
Curtis Lewis,"641 Marcus Lakes Apt. 223
Lake Laura, IL 22656",2024-11-16,Active,107.87,0N7L6D7R5WHJD7H2F,IL,BYD,BYD Tang,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,35000,In-Vehicle Infotainment System,2020,53046,0,Company Ownership,10609,"[10361, 9821, 10185, 12242, 10437]",0,4,Rental,[]
Jason Turner,"67549 Joshua Harbors Suite 671
West Meganfort, NH 45400",2024-11-19,Active,119.68,AV5H334PDP1BK7BEL,NH,Tesla,Tesla Model Y,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,49990,4S Stores,2015,126596,2,Personal Ownership,12659,"[12292, 11626, 12219, 12998, 11798, 12510, 12829, 12186, 14203, 13935]",1,9,Personal,"[{'date': datetime.date(2023, 8, 29), 'amount': 4006.94}, {'date': datetime.date(2024, 10, 28), 'amount': 1841.05}]"
Cynthia Taylor,"USCGC Humphrey
FPO AP 83724",2024-12-10,Active,145.61,1UUHH9ZG4X8SN5GE7,AP,BMW,BMW iX,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,83000,4S Stores,2023,14198,0,Company Ownership,7099,"[6739, 7459]",0,2,Personal,"[{'date': datetime.date(2018, 11, 21), 'amount': 4450.33}, {'date': datetime.date(2023, 3, 15), 'amount': 4255.98}, {'date': datetime.date(2024, 8, 28), 'amount': 2176.2}, {'date': datetime.date(2018, 4, 4), 'amount': 4387.72}]"
Raymond Kennedy,"0091 Tiffany Stream Apt. 230
Millerside, MD 78697",2024-11-11,Active,104.53999999999999,T7WU2BUU1ZREHPZHY,MD,BYD,BYD Song Plus,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,32000,4S Stores,2021,41978,0,Personal Ownership,10494,"[9523, 9951, 11768, 10736]",0,3,Rental,"[{'date': datetime.date(2024, 10, 28), 'amount': 2831.44}]"
Allen Ochoa,"378 Shannon Villages Apt. 685
Burnettfurt, MS 38410",2024-12-08,Active,150.73000000000002,Z2ECZXEBLHD0J0RT0,MS,Tesla,Tesla Model X,Tesla Full Self-Driving,Camera,Tesla FSD Computer,5G Modem,Battery Pack,Electronic Brake Booster,Steering Actuator,89990,4S Stores,2014,139011,2,Personal Ownership,12637,"[12502, 12366, 13222, 12882, 12436, 11995, 13468, 12259, 12565, 11591, 13725]",0,20,Personal,"[{'date': datetime.date(2024, 6, 5), 'amount': 4250.37}, {'date': datetime.date(2022, 6, 22), 'amount': 4061.98}, {'date': datetime.date(2024, 10, 28), 'amount': 722.2}, {'date': datetime.date(2023, 12, 25), 'amount': 4344.3}]"
Ronald Pacheco,"PSC 8141, Box 3717
APO AP 34309",2024-11-23,Active,131.29,JN0T1XTF290SYTF7F,AP,Mercedes-Benz,Mercedes-Benz EQC,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,67000,In-Vehicle Infotainment System,2022,25169,0,Personal Ownership,8389,"[9190, 7221, 8758]",1,2,Rental,[]
Joel Casey,"03359 Richard View Apt. 364
East Tamaraland, NJ 18490",2024-12-10,Active,102.67,5ABWJ6K4CYA3SKSYH,NJ,BYD,BYD Han,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,30000,In-Vehicle Infotainment System,2021,36748,0,Personal Ownership,9187,"[9164, 8913, 9346, 9325]",2,6,Rental,[]
Mrs. Melinda Hartman,"34425 Kristin Land
Thompsonview, IN 79099",2024-12-06,Active,101.43,U1FHN9U402DX5V3WM,IN,BYD,BYD Seal,BYD DiPilot,LiDAR,NVIDIA Orin,Bluetooth Adapter,DC-DC Converter,ABS Module,Electric Power Steering,28000,Agent,2016,114674,0,Personal Ownership,12741,"[11852, 13388, 13923, 12178, 12024, 11648, 11960, 13492, 14209]",2,8,Commercial,"[{'date': datetime.date(2021, 3, 26), 'amount': 4857.81}]"
Darren Garcia,"7514 Anderson Cliffs Apt. 499
West Andrewville, TN 70583",2024-12-05,Active,130.78,R4HW92DJ3N0ANZ33M,TN,Audi,Audi e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,66000,Online,2020,51827,0,Personal Ownership,10365,"[10629, 9705, 11096, 9997, 10400]",1,4,Commercial,[]
Joseph Cohen,"01254 Vargas Track
Lake Kathleen, CT 24867",2024-12-06,Active,146.20999999999998,APZZDUB0PT8NMNAF1,CT,BMW,BMW iX,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,83000,Online,2014,125655,3,Personal Ownership,11423,"[11247, 11162, 10999, 12601, 12457, 10189, 11989, 11045, 11103, 11150, 11713]",5,20,Personal,"[{'date': datetime.date(2022, 10, 21), 'amount': 3029.54}, {'date': datetime.date(2024, 9, 4), 'amount': 3333.95}, {'date': datetime.date(2024, 7, 21), 'amount': 4682.72}]"
Jeffery Sanchez,"2300 Morris Corner
Jacobsonfort, WI 13346",2024-11-09,Active,173.01999999999998,A3N2SDNCUT9M8BB1J,WI,BMW,BMW i7,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,120000,In-Vehicle Infotainment System,2016,102587,1,Company Ownership,11398,"[11980, 11536, 10266, 10599, 12671, 10815, 11736, 10668, 12316]",0,8,Commercial,"[{'date': datetime.date(2020, 3, 27), 'amount': 2651.87}, {'date': datetime.date(2021, 7, 14), 'amount': 1543.27}]"
Randy Higgins,"9494 Grant Coves Suite 331
Lauraport, GA 05150",2024-11-09,Active,140.01,PZSZZC01PLF3RDXL6,GA,Mercedes-Benz,Mercedes-Benz GLS,Mercedes-Benz Drive Pilot,LiDAR + Camera,NVIDIA Xavier,5G Modem,Inverter,ABS Module,Electric Power Steering,76000,4S Stores,2024,0,0,Company Ownership,0,[0],0,0,Commercial,"[{'date': datetime.date(2024, 10, 28), 'amount': 3293.08}]"
Timothy Oconnell,"2026 David Motorway Apt. 538
Lake Jerry, MH 62646",2024-12-15,Active,114.47,HXNVGJVPT0YKP2NJB,MH,Audi,Audi Q4 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,45000,Online,2016,112336,1,Personal Ownership,12481,"[12868, 12775, 12803, 11530, 11402, 13624, 11668, 12080, 13586]",0,16,Rental,"[{'date': datetime.date(2019, 4, 7), 'amount': 3063.39}]"
Alexandria Mosley,"3350 Bethany Plaza
Martinezstad, MT 28054",2024-11-13,Active,131.65,A262X3WB7UV4EYXGY,MT,BMW,BMW X5 xDrive45e,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,65000,Online,2016,108217,1,Company Ownership,12024,"[13081, 12479, 12622, 11951, 10623, 12587, 12495, 10355, 12024]",0,8,Commercial,"[{'date': datetime.date(2024, 10, 28), 'amount': 1985.53}, {'date': datetime.date(2023, 5, 28), 'amount': 830.26}, {'date': datetime.date(2018, 8, 31), 'amount': 2489.91}]"
Jeffery Martin,"595 Logan Skyway
North Marie, AK 90366",2024-11-18,Active,148.23000000000002,WYXW0CZD8PZ7MY9CS,AK,BMW,BMW 7 Series,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,87000,4S Stores,2021,37419,1,Personal Ownership,9354,"[9235, 10201, 8102, 9881]",0,3,Rental,[]
Judith Barber,"USCGC Johnson
FPO AP 78581",2024-11-20,Active,122.72999999999999,W7J6MYYXBW760CAYF,AP,BMW,BMW i4,BMW iDrive,Camera + Radar,NVIDIA Orin,Wi-Fi Module,Battery Pack,Electronic Brake Booster,Steering Actuator,56000,4S Stores,2018,75539,1,Personal Ownership,10791,"[10079, 10002, 10790, 10647, 11233, 12092, 10696]",2,6,Commercial,"[{'date': datetime.date(2021, 4, 6), 'amount': 2451.7}, {'date': datetime.date(2024, 3, 8), 'amount': 1251.79}, {'date': datetime.date(2018, 10, 14), 'amount': 1117.3}]"
Walter Norman,"32939 Mosley Shoal
South Robert, AR 68474",2024-11-22,Active,136.8,9SRZEF0RBH244YK9G,AR,Audi,Audi Q8 e-tron,Audi AI,Radar + LiDAR,NVIDIA Jetson,5G Modem,Battery Pack,ABS Module,Electric Power Steering,74000,Agent,2016,118763,1,Personal Ownership,13195,"[12796, 14248, 12422, 12837, 13934, 13003, 14451, 12031, 13041]",2,8,Commercial,[]
